Tiêu đề,Giá,Diện tích,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số WC,Chỗ để xe,Loại BĐS,Địa chỉ,Ngày đăng
"Nhà mới đẹp, 3pn, shr, gần trường chợ  tân hiệp hóc môn  110m²",2.45 Tỷ,110 m²,5m,6m,N/A,3,2,Không,Đất,Hương Lộ 60b,06/05/2025
💰💰💰bán nhà _ hxh 7 chỗ vào nhà - tch 07  _ dt 55 m2 _ giá 4.92 tỷ .,4.92 Tỷ,55 m²,4m,6m,3,3,3,Không,Đất,Quận 12,06/05/2025
Vũ ngọc phan- khu phân lô - hẽm ô tô 8m - 76m2- sổ vuông -5 tầng,11.5 Tỷ,76 m²,4m,8m,N/A,N/A,5,1 Chỗ để ôtô,đất,Vũ Ngọc Phan,06/05/2025
"👉𝑩𝑨́𝑵 𝑵𝑯𝑨̀ 𝑪𝑯𝑰́𝑵𝑯 𝑪𝑯𝑼̉ 𝑷𝑯𝑼̛𝑶̛̀𝑵𝑮 𝑺𝑶̛𝑵 𝑲𝒀̀, 𝑸𝑼𝑨̣̂𝑵 𝑻𝑨̂𝑵 𝑷𝑯𝑼́   •",11.7 Tỷ,61 m²,4m,6m,N/A,6,N/A,Không,đất,Đường Bờ Bao Tân Thắng,06/05/2025
Bình thạnh - nhà 4 tầng khu phân lô hẻm oto tránh - dt 77m2 (4 x 19) - giá 11.5t,11.5 Tỷ,77 m²,4m,6m,2,N/A,5,2 Chỗ để ôtô,đất,Quận Bình Thạnh,05/05/2025
"♥️♥️♥️nhà shr - dòng tiền, dt rộng, giá tốt - bán nhanh quận 8.♥️♥️♥️",6.6 Tỷ,97 m²,N/A,N/A,N/A,N/A,N/A,Không,N/A,Quận 8,05/05/2025
Bán nhà _ hxe tải vào nhà - dương thị mười _ gần b.viện q.12 - 126m2 - chỉ 4 x,4.9 Tỷ,126 m²,4.1m,7m,N/A,N/A,7,Không,Đất,Quận 12,05/05/2025
💬💬💬bán nhà 2 tầng quận 8 - giá tốt giao dịch ngay💬💬💬,4.9 Tỷ,46 m²,N/A,N/A,2,2,4,Không,N/A,Quận 8,05/05/2025
⏰💜 gấp gấp gấp _ bán nhà tth 20 _ quận 12 . dt : 50 m2 _ 2 tầng _ giá 4.650 tỷ,4.65 Tỷ,50 m²,4.8m,5m,2,N/A,2,Không,Đất,Quận 12,05/05/2025
"Bán đất 2 mặt tiền dt: 357m2- giá tốt đ.mai bá hương, x.lê minh xuân, bình chánh",4.4 Tỷ,357 m²,357m,15m,N/A,N/A,N/A,Không,ĐẤT,Huyện Bình Chánh,05/05/2025
"💎 bán nhà đẹp đặng tất  tân định, quận 1  khu vực vip  có dòng tiền ổn định",39 Tỷ,92 m²,4m,10m,2,N/A,2,Không,Nhà Mặt Phố,Quận 1,05/05/2025
"🏠 bán nhà mặt tiền trần hưng đạo  p.7, quận 5  vị trí đắc địa  giá tốt 🏠",27 Tỷ,96 m²,4m,15m,3,N/A,2,Không,NHÀ MẶT TIỀN,Quận 5,05/05/2025
2pn - full nội thất - hướng tây - bán 3.5 tỷ - căn hộ saigon mia khu trung sơn,3.5 Tỷ,59 m²,5m,20m,N/A,2,1,4 Chỗ để ôtô,CĂN HỘ,Huyện Bình Chánh,05/05/2025
Bán nhà hxt tô ngọc vân p15 gò vấp gần 70m2 đang kd chct mà chỉ có 8tỷ,8 Tỷ,68 m²,4m,8m,2,6,5,Không,Đất,Quận Gò Vấp,05/05/2025
"Nóng bỏng tay  bán nhà hẻm thống nhất siêu đẹp 40m2 giá 5,8 tỷ",5.8 Tỷ,40 m²,3m,4m,2,N/A,5,Không,Đất,Quận Gò Vấp,05/05/2025
"Ở ngay bán nhà 2 tầng xe hơi tránh trường sa, 35m2, 6 tỷ tl",6 Tỷ,35 m²,N/A,3m,1,2,2,Không,N/A,Quận 3,05/05/2025
"Chính chủ cấn bán gấp lô đất mặt tiền 3000m2 vuông vắn phường thạnh xuân,quận 12",16 Tỷ,3000 m²,15m,15m,N/A,N/A,N/A,Không,ĐẤT,Quận 12,05/05/2025
"Bán gấp nhà mặt phố cao bá nhạ, quận 1. 62 m2. 39 tỷ",39 Tỷ,62 m²,N/A,10m,N/A,N/A,N/A,Không,NHÀ MẶT PHỐ,Quận 1,05/05/2025
Bán nhà đẹp 4 tấm btct- khu dân cư hiện hữu- ko lo quy hoạch,6.6 Tỷ,56 m²,N/A,N/A,N/A,N/A,5,Không,N/A,Quận 4,05/05/2025
"Nhà hẻm xe tải 8m, nguyễn quý anh, tân phú, 8x11m, 91m2, nhỉnh 12 tỷ tl",12.5 Tỷ,91 m²,8m,8m,N/A,N/A,6,1 Chỗ để ôtô,N/A,Nguyễn Cửu Đàm,05/05/2025
Căn hộ hqc plaza sổ riêng đủ 5 năm sang tên tự do giá 1.5 tỷ căn góc,1.5 Tỷ,62 m²,N/A,N/A,N/A,N/A,2,Không,CĂN HỘ,Huyện Bình Chánh,05/05/2025
"Căn hộ sổ hồng riêng,giá 1.350 tỷ,công chứng sang tên tự do,thuế ai nấy đóng",1.35 Tỷ,55 m²,N/A,N/A,N/A,2,1,Không,CĂN HỘ,Chung Cư Hqc Plaza,05/05/2025
Bán nhà mặt tiền đường an dương vương phường 9 quận 5,37 Tỷ,48 m²,N/A,N/A,4,N/A,5,Không,NHÀ MẶT TIỀN,Quận 5,05/05/2025
Bán nhà mặt tiền phường 9 quận 5,37 Tỷ,48 m²,N/A,N/A,4,N/A,5,Không,NHÀ MẶT TIỀN,Quận 5,05/05/2025
"Mặt tiền p. tân quý, q. tân phú - ngang hiếm 5.5m x 12m. giá: 6.8 tỷ tl",6.8 Tỷ,66 m²,5.5m,6m,N/A,N/A,1,Không,Nhà Mặt Phố,Quận Tân Phú,05/05/2025
"Bán đất gấp 87m2 mt đ. hưng nhơn  - bình chánh, 1tỷ5, sổ hồng riêng",1.5 Tỷ,87 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Huyện Bình Chánh,05/05/2025
Nền đất đẹp thuộc khu dân cư tân phú trung  huyện củ chi. 84m² - giá chỉ 2 tỷ 2,2.2 Tỷ,84 m²,5m,12m,N/A,N/A,N/A,Không,ĐẤT,Vinhomes Củ Chi,05/05/2025
Chính chủ cần bán gấp đất nền đẹp thuộc tân phú trung. 84m² - giá chỉ 2 tỷ 2,2.2 Tỷ,84 m²,5m,12m,N/A,N/A,N/A,Không,ĐẤT NỀN,Vinhomes Củ Chi,05/05/2025
"Phố liền kề lô góc - ngang khủng 9m - chỉ 6,7 tỷ, dt: 126m² huỳnh tấn phát nb",6.7 Tỷ,126 m²,9m,5m,3,N/A,5,1 Chỗ để ôtô,N/A,Huyện Nhà Bè,05/05/2025
"📌 chính chủ cần bán gấp nhà hxh đường nguyễn duy cung, p12, gò vấp",6.2 Tỷ,50 m²,4m,4m,N/A,N/A,3,Không,N/A,Nguyễn Duy Cung,05/05/2025
Lê trực- hẽm xe tải -123m2- 3 tầng,13.8 Tỷ,123 m²,6.8m,5.5m,N/A,4,3,1 Chỗ để ôtô,N/A,Lê Trực,05/05/2025
"125m2 đất thổ mt đường láng the, xã tân thạnh đông giá 3,6 tỷ",3.6 Tỷ,125 m²,5m,5m,N/A,N/A,N/A,Không,ĐẤT,Huyện Củ Chi,05/05/2025
"Ở ngay bán nhà 4 tầng cực đẹp trần quang diệu, 45m2, 6.5 tỷ tl",6.5 Tỷ,45 m²,N/A,N/A,3,3,3,Không,N/A,Quận 3,05/05/2025
Hẻm 4m nhà 2tầng 2pn cách mặt tiền chỉ 50m kề aeon mall tân phú dt khủng 64.9m² chỉ 4tỷ,4.59 Tỷ,65 m²,3.8m,4m,2,2,2,4 Chỗ để ôtô,N/A,Dương Văn Dương,05/05/2025
"Nhà đẹp hẻm 1/ trường chinh, 100m² (5x20), sân vườn mát mẻ, gần coopmart  giá c",6.4 Tỷ,100 m²,5m,3m,N/A,N/A,3,Không,N/A,Quận Tân Phú,05/05/2025
Cần tiền cần sang lại clb. Chính chủ,1.65 Tỷ,600 m²,N/A,N/A,N/A,N/A,N/A,Không,N/A,Thành Phố Thủ Đức,05/05/2025
"Nhà / đường 26/3, bình hưng hòa dt 51,6m2 3 lầu 4pn 4wc giá 5,7 tỷ",5.7 Tỷ,51 m²,4.3m,4m,3,4,4,Không,N/A,Quận Bình Tân,05/05/2025
"Siêu phẩm 2 mt huỳnh tấn phát,thị trấn nhà bè, huyện nhà bè,  hcm giá 25 tỷ",25 Tỷ,537 m²,5m,20m,N/A,N/A,10,Không,Nhà Mặt Phố,Huỳnh Tấn Phát,05/05/2025
Cần bán nhà 1 lầu gần chợ hưng long giá chỉ 950 triệu,950 Triệu,105 m²,N/A,6m,1,N/A,2,Không,Nhà Mặt Phố,Huỳnh Hữu Trí,05/05/2025
Bán nhà mặt phố phan văn trị - p.7 - gò vấp 105m2 - ngang 5m - giá 20 tỷ 3,20.3 Tỷ,105 m²,5m,20m,N/A,N/A,1,1 Chỗ để ôtô,NHÀ MẶT PHỐ,Phan Văn Trị,05/05/2025
Bán nhà nguyễn đức thuận p13 tân bình 68m - 3 tầng chỉ 6 tỷ 8,6.8 Tỷ,68 m²,4m,4m,N/A,N/A,3,Không,N/A,Nguyễn Đức Thuận,05/05/2025
Bán Nhà 50m2 4 tầng khu dân cư Trương Đình Hội Giá 5.5tỷ,5.5 Tỷ,50 m²,4m,6m,4,4,3,Không,Chung Cư,Chung Cư City Gate Towers,05/05/2025
U ng văn khiêm- hẽm ô tô - 52m2-3 tầng,7.68 Tỷ,52 m²,4m,4m,3,N/A,4,Không,N/A,Ung Văn Khiêm,05/05/2025
Mặt tiền - trương thị ngào - gần song hành  q12- 220m2 đường 12m- giá 8 tỷ xíu,8.3 Tỷ,220 m²,5m,12m,N/A,2,2,Không,Nhà Mặt Phố,Trung Mỹ Tây,05/05/2025
"Mặt tiền - đông hưng thuận 2, quận 12, dt 108m2, giá chỉ: 10 tỷ 9, đương 12m",10.9 Tỷ,108 m²,4.2m,12m,N/A,N/A,1,Không,đất,Nguyễn Văn Quá,05/05/2025
"Siêu phẩm nhà phố , 4 tầng, 64m2, hxh, giá chỉ:7 tỷ, quang trung, gò vấp",7 Tỷ,65 m²,5m,5m,4,5,5,Không,NHÀ PHỐ,Quang Trung,05/05/2025
- mặt tiền tân thới nhất 05 - ngay phan văn hớn q12- 125m2 -giá tốt,8.1 Tỷ,125 m²,5m,10m,N/A,N/A,2,Không,Nhà mặt tiền,Tân Thới Nhất,05/05/2025
Bán biệt thự phan huy ích - ngang 6.8m diện tích  92m2 - thang máy - chỉ hơn 12,12.69 Tỷ,92 m²,6.8m,7m,N/A,N/A,6,2 Chỗ để ôtô,N/A,Phan Huy Ích,05/05/2025
🏡bán nhà trương thị hoa q12  ngay metro  full nội thất cao cấp  chỉ 6.25 tỷ,6.25 Tỷ,73 m²,4m,10m,N/A,N/A,2,1 Chỗ để ôtô,N/A,Quận 12,05/05/2025
Bán nhà thới an quận 12  4.5m×16m  diện tích 66m² view công viên - chỉ 6.6tỷ,6.6 Tỷ,66 m²,4.5m,10m,N/A,N/A,5,4 Chỗ để ôtô,Nhà Mặt Phố,Thới An,05/05/2025
Bán nhà quang trung gò vấp- diện tích 62m²- nhà mới 100%  full nội thất- chỉ 8tỷ,8.8 Tỷ,62 m²,4.2m,6m,N/A,N/A,5,2 Chỗ để ôtô,N/A,Quang Trung,05/05/2025
1pn - full nội thất - tầng 8 - bán 3.1 tỷ - căn hộ saigon mia kdc trung sơn,3.1 Tỷ,50 m²,5m,20m,N/A,1,1,4 Chỗ để ôtô,CĂN HỘ,Huyện Bình Chánh,05/05/2025
𝐁𝐀́𝐍 𝐍𝐇𝐀̀ 𝐓𝐀̂𝐍 𝐏𝐇𝐔́-Đ𝐔̛𝐎̛̀𝐍𝐆 𝐏𝐇𝐔́ 𝐓𝐇𝐎̣ 𝐇𝐎𝐀̀-𝐃𝐈𝐄̣̂𝐍 𝐓𝐈́𝐂𝐇 𝟓𝟎𝐌𝟐,4.8 Tỷ,50 m²,4.19999980926514m,3.5m,N/A,N/A,2,Không,N/A,Phú Thọ Hoà,05/05/2025
Nhà 4 tầng nguyễn sĩ sách  ngang 7m  83m²  hẻm xe hơi tránh  chỉ 10.7 tỷ,10.7 Tỷ,83 m²,7m,6m,N/A,4,N/A,Không,N/A,Quận Tân Bình,05/05/2025
"Bán nhà mặt tiền xã hưng long, bình chánh, hcm",2.5 Tỷ,75 m²,5m,10m,N/A,N/A,2,Không,NHÀ MẶT TIỀN,Huyện Bình Chánh,05/05/2025
Săn lô đất cực đẹp giữa trung tâm thủ đức chỉ hơn 2 tỷ.,2.7 Tỷ,48 m²,3.5m,3.5m,N/A,N/A,N/A,Không,ĐẤT,Đường 22,05/05/2025
Bán lô đất mt quốc lộ 50 bình chánh 95m2  sổ riêng  1 tỷ 200 (thương lượng) cô,1.2 Tỷ,95 m²,N/A,8m,N/A,N/A,N/A,Không,ĐẤT,Huyện Bình Chánh,05/05/2025
Cần bán lô đất 100m2 giá 1tỷ399 kdc bình hưng gần bến xe quận 8,1.4 Tỷ,100 m²,N/A,12m,N/A,N/A,N/A,Không,ĐẤT,"Đường Số 10, Khu Dân Cư Bình Hưng",05/05/2025
"BÁN NHÀ HẺM 5M KINH DOANH BÌNH THẠNH, 4m x 13m, 4 TẦNG",12.2 Tỷ,50 m²,5m,5m,N/A,N/A,4,1 Chỗ để ôtô,Đất,Quận Bình Thạnh,05/05/2025
Bán nhà mặt tiền Nguyễn Thị Kiểu,9.6 Tỷ,178 m²,N/A,N/A,N/A,N/A,N/A,Không,NHÀ MẶT TIỀN,Tân Thới Hiệp,05/05/2025
"Cần bán gấp nhà mttrần quang khải p.tân định q1. dt: 4.7x18m, 2 lầu.",38 Tỷ,85 m²,N/A,N/A,2,N/A,N/A,Không,nhà Mặt Tiền,Quận 1,05/05/2025
"Cần tiền bán gấp nhà mt thất sơn khu cư xá bắc hải q10. dt: 5.4x27m, 3 lầu.",33 Tỷ,143 m²,N/A,N/A,3,N/A,N/A,Không,nhà mặt tiền,Quận 10,05/05/2025
Villa 6x14 2mt nở hậu 5 tầng võ văn kiệt an lạc bình tân,9.3 Tỷ,90 m²,6m,12m,N/A,N/A,5,Có,Nhà Mặt Phố,Quận Bình Tân,05/05/2025
Vila 2mt 6m nở hậu lớn võ văn kiệt akari city bình tân,9.3 Tỷ,90 m²,6m,12m,5,N/A,5,Có,Nhà Mặt Phố,Akari City,05/05/2025
"Nhà căn hộ dịch vụ 2 lầu huỳnh văn bánh, thu nhập 25tr/tháng, giá chỉ 6,25 tỷ",6.25 Tỷ,35 m²,7.5m,2m,3,N/A,4,Không,CĂN HỘ,Huỳnh Văn Bánh,05/05/2025
"4.5 x 11m mặt tiền đường nội bộ 8m   khu vip lạc long quân, p8, tân bình - 8.95",8.95 Tỷ,45 m²,4.5m,8m,3,N/A,N/A,Không,N/A,Quận Tân Bình,05/05/2025
"🏡 104m2 lạc long quân, tân bình  hxh - dòng tiền 40tr/th  - 9.5 tỷ tl",9.5 Tỷ,104 m²,N/A,4m,N/A,N/A,11,Không,N/A,Quận Tân Bình,05/05/2025
Bán nhà mặt tiền đường huỳnh thị đồng- thị trấn nhè bè- tp hcm.,7.7 Tỷ,68 m²,6m,10m,3,6,5,Không,NHÀ MẶT TIỀN,Huyện Nhà Bè,04/05/2025
"🌟🌟🌟bán nhà p.chánh hưng quận 8 - 2 tầng, giá tốt🌟🌟🌟",4.9 Tỷ,46 m²,N/A,8m,2,2,4,Không,N/A,Quận 8,04/05/2025
♥️♥️♥️nhà shr bán nhanh sang tên ngay p.chánh hưng quận 8.♥️♥️♥️,8.6 Tỷ,56 m²,N/A,N/A,N/A,N/A,N/A,Không,N/A,Quận 8,04/05/2025
Hàng hiếm 99 m2 nhà mới đẹp 2 tầng hẽm xe hơi phan văn hớn,Thỏa Thuận,99 m²,N/A,N/A,2,N/A,N/A,Không,Đất,Quận 12,04/05/2025
"Bán nhà 3 tầng, 70m2, ngõ huỳnh văn nghẹ, gò vấp - giá chỉ 6.4 tỷ",Thỏa Thuận,70 m²,4m,N/A,3,N/A,3,Không,NHÀ PHỐ,Quận Gò Vấp,04/05/2025
"Bán nhà 3 tầng mới đẹp gần liên phường,phú hữu, quận 9 ,4 pn, sân thượng,5.1 tỷ",5.1 Tỷ,55 m²,4.5m,8m,3,4,3,Không,Đất,Thành Phố Thủ Đức,04/05/2025
Nhà bình quới 2 mặt tiền - hẻm xe tải tránh - dt 100m2 (5 x 20) - giá 10.6t,10.6 Tỷ,100 m²,5m,6m,N/A,N/A,4,2 Chỗ để ôtô,Đất,Quận Bình Thạnh,04/05/2025
"Sát mt bán nhà 4 tầng cực đẹp huỳnh văn bánh, 48m2, 7 tỷ tl",7 Tỷ,48 m²,N/A,N/A,4,5,5,Không,N/A,Quận Phú Nhuận,04/05/2025
"Nhà đẹp 4 tầng, hxt 8m, ni sư huỳnh liên, tân bình, 5x20m, 100m2, nhỉnh 15 tỷ tl",15.5 Tỷ,100 m²,5m,10m,4,N/A,6,2 Chỗ để ôtô,N/A,Ni Sư Huỳnh Liên,04/05/2025
"Nhà chdv 5 tầng, hẻm xe hơi 5m, núi thành, tân bình, 4x15m, 60m2, nhỉnh 12 tỷ tl",12.1 Tỷ,60 m²,4m,5m,5,N/A,11,Không,Căn Hộ,Núi Thành,04/05/2025
Phan văn trị - p11- hẽm xe tải - gần mặt tiền -98m2-3 tầng - ô tô ngủ trong nhà,14.9 Tỷ,98 m²,5.7m,5m,N/A,N/A,4,1 Chỗ để ôtô,N/A,Phan Văn Trị,04/05/2025
Bán nhanh lô đất ngang 8 tân an hội 125 6m2 shr,1 Tỷ,125 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Huyện Củ Chi,04/05/2025
"Khách cần bán nhanh miếng đất tt củ chi, ngang 7, dt 198m2 / shr.giá đẹp",2 Tỷ,198 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Huyện Củ Chi,04/05/2025
32m2 - đúc btct mới keng - 2 tầng có ban công - nguyễn du - nhỉnh 3 tỷ,3.49 Tỷ,32 m²,3.2m,2.5m,2,N/A,3,Không,N/A,Nguyễn Du,04/05/2025
Bân nhà gốc 2 mặt tiền trần tuấn khải quận 5 vi trí đẹp ngay chợ hòa bình nhỉnh,23.5 Tỷ,50 m²,4.3m,20m,3,N/A,3,4 Chỗ để ôtô,Nhà Mặt Phố,Chung Cư An Bình,04/05/2025
Nhà 4 tầng mặt tiền 10m dt 4 95m x 20m nở hậu 5 2m p tân quý q tân phú,13 Tỷ,102 m²,5m,10m,N/A,N/A,4,1 Chỗ để ôtô,Nhà Mặt Phố,Quận Tân Phú,04/05/2025
"Bán nhà 4 tầng mặt tiền trần quốc thảo, p9, q3 kinh doanh đỉnh chỉ 18 tỷ",18 Tỷ,45 m²,4m,20m,4,3,4,4 Chỗ để ôtô,Nhà mặt tiền,Trần Quốc Thảo,04/05/2025
"Bán nhà 3 tầng btct sát mt nơ trang long p12, dtsd 75m2 chỉ 4.5 tỷ",4.5 Tỷ,26 m²,2.7m,3m,3,N/A,2,Không,Đất,Quận Bình Thạnh,04/05/2025
"Bán khách sạn 160 tân quý, tân quý, tân phú. - diện tích: 5.11 x 18,5m cn 97,3m2",20 Tỷ,97 m²,5m,15m,6,N/A,4,Không,N/A,Quận Tân Phú,04/05/2025
"Bán nhà góc 2mt 29b cộng hoà 3, p. tân thành, q. tân phú - diện tích: 7.2x13.5m",16 Tỷ,91 m²,7m,15m,N/A,N/A,7,Không,Nhà Mặt Phố,Quận Tân Phú,04/05/2025
"**bán nhà mặt tiền trần mai ninh, phường 12 tân bình; (4,5*35), 4 tầng",16.79 Tỷ,168 m²,N/A,N/A,4,N/A,N/A,Không,NHÀ MẶT TIỀN,Trần Mai Ninh,04/05/2025
Nhà đẹp hẻm xe hơi tân thắng  67m² ngang 4.3m  gần aeon  chỉ 5.95 tỷ,5.95 Tỷ,67 m²,N/A,N/A,2,N/A,N/A,Không,N/A,Quận Tân Phú,04/05/2025
Nhà đẹp sơn kỳ 70m²  ngang 4.5m  hẻm xe hơi sạch đẹp  giá chỉ 6.2 tỷ tl,6.2 Tỷ,70 m²,4.5m,4m,2,N/A,N/A,Không,N/A,Quận Tân Phú,04/05/2025
"Định cư bán nhà đẹp 5 tầng xe hơi thông lê văn sỹ, 45m2, 8.3 tỷ tl",8.3 Tỷ,45 m²,N/A,N/A,4,4,5,Không,N/A,Quận Phú Nhuận,04/05/2025
"Bán gấp- 5 tầng, pull nội thất, hxh, 60m2, giá chỉ 7.3 tỷ, lê văn thọ, gò  vấp",7.3 Tỷ,60 m²,4.5m,5m,5,4,5,Không,N/A,Lê Văn Thọ,04/05/2025
"Bán nhà hẻm 6m 182 lã xuân oai, tăng nhơn phú a, 200m2, ngang 10m, chỉ 11 tỷ xxx",12 Tỷ,200 m²,10m,6m,N/A,N/A,2,Không,đất,Thành Phố Thủ Đức,04/05/2025
Nhà phố liền kề hiệp thành 13 Q12,5.65 Tỷ,165 m²,4m,7m,N/A,N/A,4,1 Chỗ để ôtô,NHÀ PHỐ,Quận 12,04/05/2025
Nhà phố liền kề hiệp thành 13,5.65 Tỷ,165 m²,N/A,N/A,N/A,N/A,N/A,Không,NHÀ PHỐ,Quận 12,04/05/2025
"Bán nhà hẻm xe tải thông đình phong phú, tăng nhơn phú b, 135m2, ngang 9m, 4tỷ x",5 Tỷ,135 m²,9m,6m,N/A,N/A,8,Không,N/A,Thành Phố Thủ Đức,04/05/2025
🏡 nhà mặt tiền đường nhựa 20m trần thị cờ- 6.7 tỷ,6.7 Tỷ,69 m²,20m,20m,N/A,N/A,N/A,Không,NHÀ MẶT TIỀN,Quận 12,04/05/2025
"Bán đất đường thạnh xuân 24, quận 12, 75m2, 3.15 tỷ",3.15 Tỷ,75 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Quận 12,04/05/2025
"Nhà 3/ lê đình cẩn, tân tạo dt 24m2 1 lầu 2pn 2wc giá 2,32 tỷ",2.32 Tỷ,24 m²,4m,4m,N/A,2,2,Không,N/A,Lê Đình Cẩn,04/05/2025
"4736m2 đất mặt tiền nguyễn thị nhia, xã phước hiệp giá 22 tỷ",22 Tỷ,4736 m²,50m,50m,N/A,N/A,N/A,Không,ĐẤT,Huyện Củ Chi,04/05/2025
"Gấp bán nhà đất gần mặt tiền phường bến thành (quận 1) tphcm, giá dưới 20 tỷ",18.6 Tỷ,81 m²,N/A,N/A,N/A,N/A,N/A,Không,ĐẤT,Quận 1,03/05/2025
"Gấp bán nhà đất, mặt tiền quận 1 tphcm,diện tich lớn giá dưới 200 tỷ",200 Tỷ,272 m²,N/A,10m,N/A,N/A,N/A,Không,ĐẤT,Quận 1,03/05/2025
"Nhà bán đường 898, phú hữu, q9. giá 4.2 tỷ",4.2 Tỷ,51 m²,N/A,N/A,2,3,4,Không,Nhà Mặt Phố,Thành Phố Thủ Đức,03/05/2025
Nhà bạch đằng 50m2 4 tầng 4 pn - hẻm oto kinh doanh - giá 12.2t,12.2 Tỷ,50 m²,4m,5m,2,4,4,1 Chỗ để ôtô,Đất,Quận Bình Thạnh,03/05/2025
"Bán nhà riêng hxh trường chinh - tân bình - ngang khủng 5m - 76 m2 nhỉnh 7,5 tỷ",7.5 Tỷ,76 m²,3m,3m,2,3,N/A,Không,NHÀ RIÊNG,Trường Chinh,03/05/2025
Bán nhà ngay phố ẩm thực bàn cờ q3 - hẻm xe tải quay đầu kinh doanh cực vip,613.6 Triệu,52 m²,4m,8m,N/A,N/A,5,2 Chỗ để ôtô,Đất,Quận 3,03/05/2025
"BÁN NHÀ TÂN BÌNH, 4m x 12m, HẺM XE HƠI, SÁT Q10",6.9 Tỷ,46 m²,N/A,4m,N/A,N/A,4,Không,Đất,Quận Tân Bình,03/05/2025
"Bán nhà mini chính chủ hẻm thông linh đông chỉ 3,x tỷ.",3 Tỷ,30 m²,3m,4m,N/A,1,1,1 Chỗ để ôtô,Đất,Đường 22,03/05/2025
📌📌📌nhà mới quận 5 - shr & giá tốt chốt nhanh📌📌📌,9.2 Tỷ,52 m²,N/A,5m,4,4,3,Không,N/A,Quận 5,03/05/2025
"Nhà đẹp 4 tầng, hẻm xe hơi 5m, trần mai ninh, tân bình, 70m2, nhỉnh 11 tỷ tl",11.1 Tỷ,70 m²,3.6m,5m,4,N/A,5,1 Chỗ để ôtô,N/A,Trần Mai Ninh,03/05/2025
"Góc 2 mặt tiền đường số 41 và đường số 45.  địa chỉ 2 đường số 41, phường 6, quậ",37 Tỷ,45 m²,5m,20m,N/A,N/A,2,Không,Nhà Mặt Phố,Quận 4,03/05/2025
"170-172 hồng bàng, phường 12, quận 5. - diện tích: 7m x 20m. công nhận: 120m2.",70 Tỷ,120 m²,7m,15m,5,N/A,2,Không,Nhà Mặt Phố,Quận 5,03/05/2025
"Nhà phố 4 tầng - thang máy- full nội thất gỗ quý, đông tăng long thủ đức, 10tyx",10.5 Tỷ,100 m²,5m,20m,4,N/A,5,Không,NHÀ PHỐ,Thành Phố Thủ Đức,03/05/2025
Bán nhà Tân Phú Hẻm 93 Gò Dầu Phường Tân Quý.,6.5 Tỷ,55 m²,4m,6m,N/A,N/A,4,Không,N/A,Quận Tân Phú,03/05/2025
Cần bán chdv 3 tầng  sát kcn bắc hải đang vận hành  tân an hội củ chi,3.52 Tỷ,250 m²,10m,6m,N/A,N/A,11,Không,CĂN HỘ,Huyện Củ Chi,03/05/2025
Bán nhà 1 trệt 2 lầu mt ở phạm văn sáng vĩnh lộc a diện tích 90m2 shr,2.8 Tỷ,90 m²,5m,6m,3,4,N/A,Không,N/A,Huyện Bình Chánh,03/05/2025
"Bán biệt thự 3 tầng - diện tích 400m² giá chỉ 12 tỷ  sát mặt tiền nguyễn bình,",12 Tỷ,400 m²,14.5m,4m,3,4,5,1 Chỗ để ôtô,N/A,Huyện Nhà Bè,03/05/2025
Nhà đẹp  trung tâm quận 10  nhỉnh 5 tỷ - 37m2 - nhỉnh 5 tỷ,Thỏa Thuận,37 m²,4.2m,3m,2,N/A,N/A,Không,N/A,Quận 10,03/05/2025
"Chính chủ bán nhà shr 120m², 3pn, gần chợ trường  tân thới nhì, hóc môn",1.7 Tỷ,120 m²,6m,8m,N/A,3,2,Không,Đất,Huyện Hóc Môn,03/05/2025
"Bán gấp nhà 2 tầng, 70m2, hẻm xe tải 6m, giá chỉ 5.55 tỷ, quang trung, gò vấp",5.55 Tỷ,70 m²,5m,6m,2,3,2,Không,N/A,Quang Trung,03/05/2025
"Ngộp  cần bán gấp căn nhà cấp 4 ở đ . tân hiệp 18 , hóc môn shr 80m2 giá 790tr",790 Triệu,80 m²,4m,4m,N/A,N/A,1,Không,Đất,Huyện Hóc Môn,03/05/2025
"Kẹt lắm cần bán gấp căn nhà ở đ. võ văn điều , phước thạnh 140m2 shr giá 690tr",690 Triệu,140 m²,7m,6m,N/A,N/A,1,Không,Đất,Huyện Củ Chi,03/05/2025
Nhà em cần bán gấp căn nhà ở đ. lê thị lơ hóc môn 110m2 shr giá 880tr,880 Triệu,110 m²,5m,4m,N/A,2,1,Không,Đất,Huyện Hóc Môn,03/05/2025
Kẹt lắm rồi chú 3 bán gấp căn nhà ở 1 ở đường tân xuân 5 70m2 shr giá 825tr,825 Triệu,70 m²,4m,4m,N/A,N/A,1,Không,Đất,Huyện Hóc Môn,03/05/2025
"Cần bán gấp căn nhà ở đ . bàu tre , tân an hội 120m2 sổ hồng riêng giá 680 triệu",680 Triệu,120 m²,6m,6m,N/A,N/A,2,Không,Đất,Huyện Củ Chi,03/05/2025
