Tiêu đề dự án,Giá,Diện tích,Giá/m²,Địa chỉ,Số phòng ngủ,Số phòng vệ sinh,Ngày đăng
"Bán CH Belleza, 78m2, 2pn, 2wc, nhà decor đẹp, full NT giá 3.75 tỷ. Hà 0917 987 ***","3,75 tỷ",78 m²,"48,08 tr/m²","Quận 7, Hồ Chí Minh",2,2,07/10/2025
"QUÁ RẺ CHỈ 70TR/M2, HXT, SÁT MẶT TIỀN ĐƯỜNG DƯƠNG QUẢNG HÀM, DT 9X25m( nở hậu 10m), Giá 15,9 tỷ tl.","15,9 tỷ",225 m²,"70,67 tr/m²","Gò Vấp, Hồ Chí Minh",N/A,N/A,07/10/2025
"Sát Kinh Dương Vương! Nhà mới 4 tấm Hồng Bàng. DT: (4,5x15)m Giá: 6.8 tỷ(TL)","6,8 tỷ",57 m²,"119,3 tr/m²","Quận 11, Hồ Chí Minh",4,3,07/10/2025
Quận 8 - Phạm Thế Hiển - nhà cấp 4 - 75m2 - 6.2 tỷ,"6,2 tỷ",75 m²,"82,67 tr/m²","Quận 8, Hồ Chí Minh",1,1,07/10/2025
"GẤP. Chủ gửi bán gấp căn hộ 3pn view hồ bơi lầu cao cc Scenic Valley 1 - 110m2 - 9,5 tỷ","9,5 tỷ",110 m²,"86,36 tr/m²","Quận 7, Hồ Chí Minh",3,2,07/10/2025
Giỏ 99 căn độc quyền giá rẻ nhất thị trường-The Origami Vin Q.9 chiết khấu 32% thanh toán giãn 480n,"2,89 tỷ",61 m²,"47,38 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"Giá tốt, đất 165m2, Ba Sa, Phước Hiệp, Củ Chi",Giá thỏa thuận,165 m²,N/A,"Củ Chi, Hồ Chí Minh",N/A,N/A,07/10/2025
"Chính chủ bán gấp căn nhà đang cho thuê 15tr/tháng ở ngay vòng xoay An Lạc, 5mx18,8m, giá 710 triệu",710 triệu,94 m²,"7,55 tr/m²","Bình Chánh, Hồ Chí Minh",3,2,07/10/2025
Trung tâm Quận 8 - khu hiếm nhà bán - hẻm 5m thông - khu phân lô - ô tô đến cửa - sát bên Hưng Phú,"5,1 tỷ","37,6 m²","135,64 tr/m²","Quận 8, Hồ Chí Minh",3,1,07/10/2025
"Gần Đầm Sen! Nhà mới đẹp 4 tấm hẻm 6m Hồng Bàng P1. DT: (3,8x14)m Giá: 8,5 tỷ(TL)","8,5 tỷ",51 m²,"166,67 tr/m²","Quận 11, Hồ Chí Minh",4,5,07/10/2025
"Rẻ nhất khu Tên Lửa! Nhà mới đẹp 4 tấm khu Tên Lửa. DT: (4,5x15)m giá: 6,65 tỷ (TL)","6,65 tỷ",57 m²,"116,67 tr/m²","Bình Tân, Hồ Chí Minh",4,3,07/10/2025
"Chính Chủ cần Bán tòa nhà căn hộ dịch vụ trung tâm Quận 5 DTCN 107m2 Giá 38,5 tỷ","38,5 tỷ",107 m²,"359,81 tr/m²","Quận 5, Hồ Chí Minh",N/A,N/A,07/10/2025
"Rẻ nhất khu Tên Lửa! Nhà mới đẹp 4 tấm Khu Tên Lửa. DT: (4,5x15)m giá: 6,65 tỷ (TL)","6,65 tỷ",57 m²,"116,67 tr/m²","Bình Tân, Hồ Chí Minh",4,3,07/10/2025
Trung tâm Quận 8 - khu hiếm nhà bán - hẻm 5m thông - khu phân lô - ô tô đến cửa - sát bên Hưng Phú,"5,1 tỷ","37,6 m²","135,64 tr/m²","Quận 8, Hồ Chí Minh",3,1,07/10/2025
"Gần Đầm Sen! Nhà mới đẹp 4 tấm hẻm 6m Hồng Bàng P1. DT: (3,8x14)m Giá: 8,5 tỷ(TL)","8,5 tỷ",51 m²,"166,67 tr/m²","Quận 11, Hồ Chí Minh",4,5,07/10/2025
"Rẻ nhất khu Tên Lửa! Nhà mới đẹp 4 tấm khu Tên Lửa. DT: (4,5x15)m giá: 6,65 tỷ (TL)","6,65 tỷ",57 m²,"116,67 tr/m²","Bình Tân, Hồ Chí Minh",4,3,07/10/2025
"Chính Chủ cần Bán tòa nhà căn hộ dịch vụ trung tâm Quận 5 DTCN 107m2 Giá 38,5 tỷ","38,5 tỷ",107 m²,"359,81 tr/m²","Quận 5, Hồ Chí Minh",N/A,N/A,07/10/2025
"Rẻ nhất khu Tên Lửa! Nhà mới đẹp 4 tấm Khu Tên Lửa. DT: (4,5x15)m giá: 6,65 tỷ (TL)","6,65 tỷ",57 m²,"116,67 tr/m²","Bình Tân, Hồ Chí Minh",4,3,07/10/2025
"Gần công viên Phú Lâm! Nhà mới 4 tấm Kinh Dương Vương. DT: (4,5x15)m Giá: 6,8 tỷ(TL)","6,8 tỷ",57 m²,"119,3 tr/m²","Quận 6, Hồ Chí Minh",4,3,07/10/2025
Quận 8 - Dương Bá Trạc - 4 tầng - hẻm ô tô sổ nở hậu - nhỉnh 7 tỷ,"7,9 tỷ",45 m²,"175,56 tr/m²","Quận 8, Hồ Chí Minh",4,5,07/10/2025
"Gần vòng xoay Phú Lâm! Nhà mới 2 tấm hẻm 4m Hồng Bàng DT: (3,8x14)m giá: 5,2 tỷ (TL)","5,2 tỷ",52 m²,100 tr/m²,"Quận 11, Hồ Chí Minh",2,2,07/10/2025
"Giáp Q11! Nhà mới 2 tấm Khu Cư Xá Rada, P13, DT: (3,8x14)m. Giá: 5,2 tỷ (TL)","5,2 tỷ",52 m²,100 tr/m²,"Quận 6, Hồ Chí Minh",2,2,07/10/2025
"Sát chung cư Thuận Việt Q. 11! Nhà 2 tấm hẻm 8m Thiên Phước P.9. DT: (5,5x10)m. Giá: 7,5 tỷ (TL)","7,5 tỷ",55 m²,"136,36 tr/m²","Tân Bình, Hồ Chí Minh",2,2,07/10/2025
"Sát chợ Tân Bình! Nhà mới đẹp 4 tấm Lý Thường Kiệt P8 Tân Bình. (6,2x12)m, 8,49 tỷ (TL)","8,49 tỷ",65 m²,"130,62 tr/m²","Tân Bình, Hồ Chí Minh",4,4,07/10/2025
"Giá hot trong tháng! Nhà 2 tấm hẻm 3m Ông Ích Khiêm. DT: (3,8x14)m Giá: 5,7 tỷ (TL)","5,7 tỷ",45 m²,"126,67 tr/m²","Quận 11, Hồ Chí Minh",4,3,07/10/2025
"Gần Minh Phụng! Nhà mới 4 tấm mặt tiền Lê Quang Sung P6. DT: (4x12)m giá: 10,8 tỷ (TL)","10,8 tỷ",48 m²,225 tr/m²,"Quận 6, Hồ Chí Minh",5,4,07/10/2025
"Nhà mới 4 tấm hẻm 4m Hòa Bình P5. DT: (4x10)m giá: 5,8 tỷ (TL)","5,8 tỷ",40 m²,145 tr/m²,"Quận 11, Hồ Chí Minh",3,3,07/10/2025
"Chỉ 19,9 tỷ có ngay 1 căn khu Lữ Gia ngang 7,5m! Nhà cấp 4 khu Cư Xá Lữ Gia. (7,5x14)m.","19,9 tỷ",100 m²,199 tr/m²,"Quận 11, Hồ Chí Minh",4,2,07/10/2025
"Giáp Q3 Q10! Nhà mới 4 tấm gần ngã tư Lạc Long Quân - Âu Cơ. DT: (6x12)m giá: 8,5 tỷ(TL)","8,5 tỷ",64 m²,"132,81 tr/m²","Quận 11, Hồ Chí Minh",4,3,07/10/2025
"Sát Q10! Kinh doanh tốt! Nhà 4 tấm mặt tiền Minh Phụng. Giá: 11,7 tỷ (TL)","11,7 tỷ",40 m²,"292,5 tr/m²","Quận 11, Hồ Chí Minh",3,3,07/10/2025
"Sát Q10!!! Nhà mới 4 tấm, giá tốt Khu Cư Xá Lê Đại Hành. DT: (3,8x10)m giá: 6,5 tỷ (TL)","6,5 tỷ",36 m²,"180,56 tr/m²","Quận 11, Hồ Chí Minh",4,3,07/10/2025
"Diện tích đẹp! Nhà 4 tấm hẻm 7m Lạc Long Quân P3. DT: (7x15)m giá: 12,9 tỷ","12,9 tỷ",100 m²,129 tr/m²,"Quận 11, Hồ Chí Minh",5,4,07/10/2025
"Bán căn hộ 4 phòng ngủ The Marq trần cao 5.4m, View Landmark 81, đã sổ hồng, Private Lift, ô đậu xe","35,9 tỷ",146 m²,"245,89 tr/m²","Quận 1, Hồ Chí Minh",4,4,07/10/2025
"Diện tích đẹp! Nhà 4 tấm hẻm 7m Lạc Long Quân P3. DT: (7x15)m giá: 12,9 tỷ","12,9 tỷ",100 m²,129 tr/m²,"Quận 11, Hồ Chí Minh",5,4,07/10/2025
"Bán căn hộ 4 phòng ngủ The Marq trần cao 5.4m, View Landmark 81, đã sổ hồng, Private Lift, ô đậu xe","35,9 tỷ",146 m²,"245,89 tr/m²","Quận 1, Hồ Chí Minh",4,4,07/10/2025
"95 tỷ! Bán toà nhà mặt tiền Huỳnh Mẫn Đạt - DT: 10x36m, phường 19, Bình Thạnh - Hầm 7 Tầng",95 tỷ,360 m²,"263,89 tr/m²","Bình Thạnh, Hồ Chí Minh",N/A,N/A,07/10/2025
"Cần bán gấp căn hộ Saigon south(2PN) full nội thất ,lầu cao view thoáng ,nhà mới 99% LH:0911 898 ***","5,2 tỷ",75 m²,"69,33 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,07/10/2025
"Cách Mặt tiền 30m! Nhà 3 tấm Minh Phụng P9. DT: (3,7x10)m Giá: 4,9 tỷ (TL)","4,9 tỷ",37 m²,"132,43 tr/m²","Quận 11, Hồ Chí Minh",5,4,07/10/2025
"Cực rẻ Q11! Nhà mới đẹp 4 tấm Lý Thường Kiệt P15. DT: (4x10)m giá: 5,2 tỷ(TL)","5,2 tỷ",40 m²,130 tr/m²,"Quận 11, Hồ Chí Minh",3,3,07/10/2025
"Sát Cư Xá Lữ Gia! Nhà 2 tấm hẻm 7m Nguyễn Thị Nhỏ. DT: (5,5x10)m giá: 7,5 tỷ (TL)","7,5 tỷ",55 m²,"136,36 tr/m²","Quận 11, Hồ Chí Minh",2,2,07/10/2025
Cần bán gấp căn hộ Sunrise Riverside giáp Phú Mỹ Hưng (3PN 2WC) nhà đẹp giá tốt nhất thị trường,"5,7 tỷ",95 m²,60 tr/m²,"Nhà Bè, Hồ Chí Minh",3,2,07/10/2025
"3PN The Marq bán, tầng cao, full option, nhà ít ở mới 99%. Có ô đậu xe","23,99 tỷ",110 m²,"218,09 tr/m²","Quận 1, Hồ Chí Minh",3,3,07/10/2025
Quận 8 - Nguyễn Thị Tần mặt bằng kinh doanh - 4 tầng - Giá 10 tỷ,10 tỷ,45 m²,"222,22 tr/m²","Quận 8, Hồ Chí Minh",5,5,07/10/2025
"Bán gấp Nhà riêng 4PN, 5WC tại Huỳnh Văn Nghệ, Gò Vấp, 7,5 tỷ, 62m2","7,5 tỷ",62 m²,"120,97 tr/m²","Gò Vấp, Hồ Chí Minh",4,5,07/10/2025
"HXH 8m Cộng Hòa - Thăng Long Nhà 5 tầng, 90m2. Giá 13.8 tỷ.","13,8 tỷ",90 m²,"153,33 tr/m²","Tân Bình, Hồ Chí Minh",6,4,07/10/2025
"Bán toà nhà riêng 16x18m, hầm - 6 tầng sân thượng. Sổ cá nhân. LH Quân 0901 380 ***",145 tỷ,288 m²,"503,47 tr/m²","Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nền biệt thự MT Nguyễn Mộng Tuân, đối diện chung cư Victoria, DT 10x21m. Giá 150tr/m2","31,8 tỷ",212 m²,150 tr/m²,"Quận 2, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán 1PN The Marq Quận 1 , tầng đẹp, Full . Giá 8.9 tỷ | Danh sách 1PN The Marq đang bán 10/2025","8,9 tỷ",48 m²,"185,42 tr/m²","Quận 1, Hồ Chí Minh",1,1,07/10/2025
Bán Saigon Royal 3PN - 2WC - 115m2 giá chỉ 16tỷ bao thuế phí view NTT 0888 051 *** em Tiên,16 tỷ,115 m²,"139,13 tr/m²","Quận 4, Hồ Chí Minh",3,2,07/10/2025
"Giảm giá 400tr bán căn hộ 2PN 59m2 tòa GH6, hướng Đông Nam đối diện Vincom giá 3,5 tỷ, TT 6 tháng","3,5 tỷ",59 m²,"59,32 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"Bán đất đường Liên Phường Quận 9, dự án mẫu giáo TW 3 (Cao Đẳng TW3) liền kề Verosa Khang Điền",15 tỷ,216 m²,"69,44 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà 4 tầng 4x20m - mặt tiền đường số Cao Lỗ, quận 8 - khu vip bàn cờ - giá tốt chỉ 13.5 tỷ","13,5 tỷ",80 m²,"168,75 tr/m²","Quận 8, Hồ Chí Minh",4,5,07/10/2025
"Chỉ 100tr/m2, HXH, DT 4X25m, vuông vức, được xây dựng cao tầng, Bùi Đình Túy, giá 10,3 tỷ TL","10,3 tỷ",100 m²,103 tr/m²,"Bình Thạnh, Hồ Chí Minh",3,2,07/10/2025
Bán Saigon Royal 3PN - 2WC - 115m2 giá chỉ 16tỷ bao thuế phí view NTT 0888 051 *** em Tiên,16 tỷ,115 m²,"139,13 tr/m²","Quận 4, Hồ Chí Minh",3,2,07/10/2025
"Giảm giá 400tr bán căn hộ 2PN 59m2 tòa GH6, hướng Đông Nam đối diện Vincom giá 3,5 tỷ, TT 6 tháng","3,5 tỷ",59 m²,"59,32 tr/m²","Quận 9, Hồ Chí Minh",2,2,07/10/2025
"Bán đất đường Liên Phường Quận 9, dự án mẫu giáo TW 3 (Cao Đẳng TW3) liền kề Verosa Khang Điền",15 tỷ,216 m²,"69,44 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà 4 tầng 4x20m - mặt tiền đường số Cao Lỗ, quận 8 - khu vip bàn cờ - giá tốt chỉ 13.5 tỷ","13,5 tỷ",80 m²,"168,75 tr/m²","Quận 8, Hồ Chí Minh",4,5,07/10/2025
"Chỉ 100tr/m2, HXH, DT 4X25m, vuông vức, được xây dựng cao tầng, Bùi Đình Túy, giá 10,3 tỷ TL","10,3 tỷ",100 m²,103 tr/m²,"Bình Thạnh, Hồ Chí Minh",3,2,07/10/2025
Chỉ 67tr/m2 NHÀ 2 TẦNG 430m2(ngang KHỦNG 19.5/21 X 25m dài )HXH 1/ cách MẶT TIỀN quang trung 30m,Giá thỏa thuận,430 m²,N/A,"Gò Vấp, Hồ Chí Minh",N/A,N/A,07/10/2025
Bán nhà mặt tiền chợ Khiết Tâm kinh doanh sầm uất đang cho thuê,"10,8 tỷ",128 m²,"84,38 tr/m²","Thủ Đức, Hồ Chí Minh",N/A,N/A,07/10/2025
Quận 8 - Nguyễn Thị Tần - cấp 4 - hẻm 3 m - chỉ vài bước chân ra hẻm xe hơi,"6,75 tỷ",84 m²,"80,36 tr/m²","Quận 8, Hồ Chí Minh",2,1,07/10/2025
"BÁN NHÀ 759.9m2 số 213 ĐƯỜNG ĐIỆN BIÊN PHỦ, P. VÕ THỊ SÁU, QUẬN 3 TP.HCM",370 tỷ,"759,9 m²","486,91 tr/m²","Quận 3, Hồ Chí Minh",N/A,N/A,07/10/2025
GIẢM SỐC 1 t.ỷ CHỦ KẸT CỨNG 2 TẦNG 163m2(7.5X23) 1/ HẺM XE HƠI TRÁNH 12m gần Aeon mall- KO LỘ GIỚI.,Giá thỏa thuận,163 m²,N/A,"Tân Phú, Hồ Chí Minh",3,3,07/10/2025
CN ĐỦ 713m2 GẤP BÁN Tổng giảm 2 tỷ: NHÀ CHÍNH CHỦ 1 ĐỜI ( ngang 12 Nở Hậu 26 X 45m dài) HẺM XE TẢI,Giá thỏa thuận,713 m²,N/A,"Gò Vấp, Hồ Chí Minh",5,5,07/10/2025
"Mặt tiền Lê Văn Việt DT 4,5mx16m kết cấu 3 tầng sổ vuông vức nhà đang kinh doanh, giá 11, x tỷ","11,4 tỷ",72 m²,"158,33 tr/m²","Quận 9, Hồ Chí Minh",4,3,07/10/2025
KHU VIP BẠCH VÂN - 4 TẦNG - HẺM THẲNG 1 TRỤC - CÁCH MẶT TIỀN 50M - GIÁ 7. 8TỶ .,"7,8 tỷ",43 m²,"181,4 tr/m²","Quận 5, Hồ Chí Minh",4,4,07/10/2025
"Biệt thự siêu vị trí 2MT đường Trường Sơn quận 10 (DT 7,5x20m) 5 tầng nhà mới tiện ở liền",46 tỷ,150 m²,"306,67 tr/m²","Quận 10, Hồ Chí Minh",7,7,07/10/2025
Cần bán căn nhà hẻm 1/ Đình Nghi Xuân. 1.65 tỷ Cách ngã tư Bốn Xã chỉ 450m. 4.5x16m,"1,65 tỷ",72 m²,"22,92 tr/m²","Bình Tân, Hồ Chí Minh",3,2,07/10/2025
"Bán nhà rẻ ngay Nguyễn Kiệm, Gò Vấp - 77m2, 2 MT hẻm - 3 tầng full nội thất - 8,7 tỷ TL","8,7 tỷ",77 m²,"112,99 tr/m²","Gò Vấp, Hồ Chí Minh",3,4,07/10/2025
Bán căn hộ 2PN - toà Sea - căn hộ Grand Marina Saigon,"31,5 tỷ",78 m²,"403,85 tr/m²","Quận 1, Hồ Chí Minh",2,2,07/10/2025
"Ngay Nguyễn Trọng Tuyển - 30m2 - 4,8TỶ TL.","4,8 tỷ",30 m²,160 tr/m²,"Phú Nhuận, Hồ Chí Minh",2,2,07/10/2025
"Quá rẻ! Bán căn hộ 2PN Đảo Kim Cương đã có sổ hồng giá chỉ 8,3 tỷ!","8,3 tỷ",83 m²,100 tr/m²,"Quận 2, Hồ Chí Minh",2,1,07/10/2025
Mặt tiền Gò Cát - P. Phú Hữu. Kinh doanh đa nghề,"5,3 tỷ",81 m²,"65,43 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
Mặt tiền Gò Cát - P. Phú Hữu. Kinh doanh đa nghề,"5,3 tỷ",81 m²,"65,43 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
Góc 2 MT Trần Văn Kiểu 6.3x16 5 tầng dòng tiền 35 triệu/tháng,20 tỷ,"100,8 m²","198,41 tr/m²","Quận 6, Hồ Chí Minh",7,N/A,07/10/2025
Đất đường 24 KDC Bình Phú đối diện công viên 4x24 vuông vức,"11,9 tỷ",96 m²,"123,96 tr/m²","Quận 6, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán nhà kho khu Tên Lửa, Bình Trị Đông B, giá tốt nhất khu vực, 200m2, full thổ cư.","16,5 tỷ",200 m²,"82,5 tr/m²","Bình Tân, Hồ Chí Minh",N/A,N/A,07/10/2025
Mặt tiền 6 đường số 3 Phường 11 quận 6 sát công viên Bình Phú,"10,99 tỷ",80 m²,"137,38 tr/m²","Quận 6, Hồ Chí Minh",6,N/A,07/10/2025
"Có sổ sẵn - Bán căn hộ Phú Gia 75m2, 2PN - 2WC giá 2.480 tỷ - Có nội thất - view đẹp","2,48 tỷ",75 m²,"33,07 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,07/10/2025
"Mặt tiền đường 23 KDC Bình Phú 4,5x20 4 lầu 8PN sẵn hợp đồng thuê 35 triệu/tháng",18 tỷ,90 m²,200 tr/m²,"Quận 6, Hồ Chí Minh",8,8,07/10/2025
Bán nhà MT Chợ Lớn khúc sung 4x20 3 tấm rưỡi,"15,5 tỷ",80 m²,"193,75 tr/m²","Quận 6, Hồ Chí Minh",8,8,07/10/2025
Bán nhà đường 24 KDC Bình Phú 5x24 4 lầu mới tinh có thang máy,"16,9 tỷ",120 m²,"140,83 tr/m²","Quận 6, Hồ Chí Minh",6,6,07/10/2025
"Bán nhà MT 19 Mai Xuân Thưởng, P3, Q6 giáp Q5","14,2 tỷ","74,8 m²","189,84 tr/m²","Quận 6, Hồ Chí Minh",5,6,07/10/2025
"Bán nhà đường 28 sát Metro 4x19m, 76m2 3 lầu","11,9 tỷ",76 m²,"156,58 tr/m²","Quận 6, Hồ Chí Minh",5,N/A,07/10/2025
"Bán căn hộ Phú Gia, căn 75m2 view hồ bơi giá 2.450 tỷ đã có sổ - Vay được tất cả ngân hàng","2,45 tỷ",75 m²,"32,67 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,07/10/2025
Nhà góc 123A Hậu Giang 60m2 khúc đẹp nhất đông nhất 4 lầu hoàn công đầy đủ,28 tỷ,60 m²,"466,67 tr/m²","Quận 6, Hồ Chí Minh",N/A,N/A,07/10/2025
"Chính chủ bán lô đất Tăng Long River View giá rẻ 112m2 chỉ 5,3 tỷ","5,35 tỷ",112 m²,"47,77 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
Còn 3 lô shophouse căn hộ Orchid Park - giá từ 2.4 tỷ/căn - đã có sổ hồng công chứng liền,"2,4 tỷ",52 m²,"46,15 tr/m²","Nhà Bè, Hồ Chí Minh",N/A,1,07/10/2025
"8,8 tỉ - 75m2 - 3 tầng đúc - Giáp Q. 1 - Điện Biên Phủ - P. 17 - Bình Thạnh","8,8 tỷ",75 m²,"117,33 tr/m²","Bình Thạnh, Hồ Chí Minh",3,3,07/10/2025
"Căn hộ Phú Gia, đã có sổ, 75m2 giá 2.450 tỷ. Vay được tất cả ngân hàng","2,45 tỷ",75 m²,"32,67 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,07/10/2025
"Nhà đẹp khu Nguyễn Văn Trỗi, P08, Phú Nhuận. DTCN: 50m2, 3 lầu. Giá 7,9 tỷ TL","7,9 tỷ",50 m²,158 tr/m²,"Phú Nhuận, Hồ Chí Minh",4,5,07/10/2025
Bán 3PN - 138m2 - View hoa hậu - căn hộ Opera Residence - Giá: 68 tỷ,68 tỷ,138 m²,"492,75 tr/m²","Quận 2, Hồ Chí Minh",3,2,07/10/2025
NGAY EMART PHAN HUY ÍCH- OTO VÀO NHÀ -DT: 52M2 - 4 TẦNG MỚI -TẶNG FULL NỘI THẤT - GIÁ: 6 TỶ 88,"6,88 tỷ",52 m²,"132,31 tr/m²","Gò Vấp, Hồ Chí Minh",4,5,07/10/2025
"Chính chủ bán lô đất Tăng Long River View giá rẻ 112m2 chỉ 5,3 tỷ","5,35 tỷ",112 m²,"47,77 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
Còn 3 lô shophouse căn hộ Orchid Park - giá từ 2.4 tỷ/căn - đã có sổ hồng công chứng liền,"2,4 tỷ",52 m²,"46,15 tr/m²","Nhà Bè, Hồ Chí Minh",N/A,1,07/10/2025
"8,8 tỉ - 75m2 - 3 tầng đúc - Giáp Q. 1 - Điện Biên Phủ - P. 17 - Bình Thạnh","8,8 tỷ",75 m²,"117,33 tr/m²","Bình Thạnh, Hồ Chí Minh",3,3,07/10/2025
"Căn hộ Phú Gia, đã có sổ, 75m2 giá 2.450 tỷ. Vay được tất cả ngân hàng","2,45 tỷ",75 m²,"32,67 tr/m²","Nhà Bè, Hồ Chí Minh",2,2,07/10/2025
"Nhà đẹp khu Nguyễn Văn Trỗi, P08, Phú Nhuận. DTCN: 50m2, 3 lầu. Giá 7,9 tỷ TL","7,9 tỷ",50 m²,158 tr/m²,"Phú Nhuận, Hồ Chí Minh",4,5,07/10/2025
Bán 3PN - 138m2 - View hoa hậu - căn hộ Opera Residence - Giá: 68 tỷ,68 tỷ,138 m²,"492,75 tr/m²","Quận 2, Hồ Chí Minh",3,2,07/10/2025
NGAY EMART PHAN HUY ÍCH- OTO VÀO NHÀ -DT: 52M2 - 4 TẦNG MỚI -TẶNG FULL NỘI THẤT - GIÁ: 6 TỶ 88,"6,88 tỷ",52 m²,"132,31 tr/m²","Gò Vấp, Hồ Chí Minh",4,5,07/10/2025
"Chính Chủ Bán Gấp! Nhà Mới 100% HXH 6m , Vườn Lài Tân Phú , sát Aeon Mall , ngang 4.5m . GIÁ 5.5tỷ","5,5 tỷ",41 m²,"134,15 tr/m²","Tân Phú, Hồ Chí Minh",2,2,07/10/2025
"Bán đất thổ cư 2 mặt tiền đường An Phú Đông 3, sổ riêng chính chủ (2 sổ có bán lẻ)","12,3 tỷ",158 m²,"77,85 tr/m²","Quận 12, Hồ Chí Minh",N/A,N/A,07/10/2025
"Bán Nhà sổ riêng, 5 x 5m.. 1 lầu 2PN mặt tiền đường Lê Văn Lương, Nhơn Đức. Giá chỉ 2 tỷ 850","2,85 tỷ",25 m²,114 tr/m²,"Nhà Bè, Hồ Chí Minh",2,1,07/10/2025
"BÁN NHÀ HXH THÔNG HOÀNG VĂN THỤ - NGUYỄN THÁI BÌNH, P4, TB, 4.1X14, 2 TẦNG, 10 TỶ (TL)",10 tỷ,56 m²,"178,57 tr/m²","Tân Bình, Hồ Chí Minh",N/A,N/A,07/10/2025
MẶT TIỀN KHU VIP BỜ BAO TÂN THẮNG - 4x14 - Nở Hậu - Gần Aeon Tân Phú - Nhỉnh 10 Tỷ,10 tỷ,56 m²,"178,57 tr/m²","Tân Phú, Hồ Chí Minh",3,3,07/10/2025
"Bán Nhà Bình Thạnh HXH 6m Nơ Trang Long, 4x12m - 5 Tầng 4 Phòng HĐT 25 Triệu/Tháng Nhà Mới Vuông A4","9,3 tỷ",48 m²,"193,75 tr/m²","Bình Thạnh, Hồ Chí Minh",4,5,07/10/2025
Bán căn hộ Miếu Nổi 18 tầng 37 Vũ Huy Tấn Phường 3 Bình Thạnh 64m2 2PN 1WC view Landmark 81 & sông,"4,25 tỷ",64 m²,"66,41 tr/m²","Bình Thạnh, Hồ Chí Minh",2,1,07/10/2025
"Sổ hồng, sang nhượng căn góc 2PN +, 2WC view ngoại khu tháp A1 Westgate, tiện ích resort 5 sao","3,2 tỷ",69 m²,"46,38 tr/m²","Bình Chánh, Hồ Chí Minh",2,2,07/10/2025
"Ngay Gò Dầu - Tân Sơn Nhì, quận Tân Phú (4x15m) 1 trệt 3 lầu mới chỉ 9 tỷ",9 tỷ,60 m²,150 tr/m²,"Tân Phú, Hồ Chí Minh",5,6,07/10/2025
"Khuôn đất mặt tiền Hồ Văn Huê, Phú Nhuận sát sân bay 15x22m Bao GPXD 2 Hầm 10 tầng - giảm về 61 tỷ",61 tỷ,260 m²,"234,62 tr/m²","Phú Nhuận, Hồ Chí Minh",N/A,N/A,07/10/2025
"[ CẦN BÁN ] Lô đất đường 970 Tín Hưng, cách Nguyễn Duy Trinh 50m.","4,69 tỷ","62,6 m²","74,92 tr/m²","Quận 9, Hồ Chí Minh",N/A,N/A,07/10/2025
"Mặt Tiền Sầm Uất gần chợ Tân Hương [4x18m] 4 Tầng mới chỉ 13,5 tỷ TL","13,5 tỷ",72 m²,"187,5 tr/m²","Tân Phú, Hồ Chí Minh",4,5,07/10/2025
[ CẦN BÁN] - Căn hộ Homyland nguyễn duy trinh đã có sổ hồng 117m2 giá 5.5 tỷ full nội thất cao cấp,"5,5 tỷ",117 m²,"47,01 tr/m²","Quận 2, Hồ Chí Minh",3,2,07/10/2025
"Mặt Tiền Sầm Uất gần chợ Tân Hương [4x18m] 4 Tầng mới chỉ 13,5 tỷ TL","13,5 tỷ",72 m²,"187,5 tr/m²","Tân Phú, Hồ Chí Minh",4,5,07/10/2025
[ CẦN BÁN] - Căn hộ Homyland nguyễn duy trinh đã có sổ hồng 117m2 giá 5.5 tỷ full nội thất cao cấp,"5,5 tỷ",117 m²,"47,01 tr/m²","Quận 2, Hồ Chí Minh",3,2,07/10/2025
"Cơ Hội Vàng Sở Hữu Căn Hộ Bàu Cát 2 - 45m², 2PN, Giá 2.25 Tỷ","2,25 tỷ",45 m²,50 tr/m²,"Tân Bình, Hồ Chí Minh",2,1,07/10/2025
"Bán 2PN - View sông, cầu Ba Son, khu căn hộ hàng hiệu - Full nội thất",25 tỷ,70 m²,"357,14 tr/m²","Quận 2, Hồ Chí Minh",2,2,07/10/2025
Nhà mới đường 6m Bình Phú 1 ngang 5m 3 lầu mới tinh,"8,5 tỷ",48 m²,"177,08 tr/m²","Quận 6, Hồ Chí Minh",3,4,07/10/2025
